Ventas Piso 2024,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Ventas Piso 2025,Unnamed: 13,Unnamed: 14,Unnamed: 15,* se actualiza al reportar en Sale-U ,Unnamed: 17,Unnamed: 18,Unnamed: 19,263,Unnamed: 21,Unnamed: 22,979,811,Unnamed: 25,Unnamed: 26,Factor minimo mejor vendedor ,Factor minimo mejor vendedor .1,Unnamed: 29,Unnamed: 30
9,5,9,1,3,10,9,6,3,11,8,10,12,9,4,12,3,Leads Prom X Mes,T. Ventas Piso ,Factor   ,Total de Ventas Historicas ,RAKING VENTAS,Dependencia de Piso ,Historico de PDM,Historico de SDC,Conversion PDM,Conversion SDC,Factor  PDM,Factor  SDC,Raking PDM,Raking SDC
feb,mar,abr,may,jun,jul,ago,sep,oct,nov,dic,ene,feb,mar,abr,May ,Junio,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,1,23,0,1,5,1,0,1.00,5.00,1,20
 ,0,0,0,0,0,0,0,0,1,2,4,1,2,1,1,0,10,11,0.18,18,6,0.61,59,40,0.31,0.02,3.28,2.22,7,10
 ,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,1,1,0,0,0.00,0.00,0,0
 ,0,0,0,0,0,0,0,2,0,0,0,0,1, ,3,2,8,3,0.09,8,11,0.38,28,31,0.29,0.01,3.50,3.88,9,18
 ,0,0,0,0,0,0,2,0,3,1,0,3,0, ,0,0,7,9,0.16,15,8,0.6,64,30,0.23,0.02,4.27,2.00,13,7
 ,0,0,0,0,0,0,0,0,0,0,0,1,0, ,0,0,1,1,0.25,4,17,0.25,21,26,0.19,0.01,5.25,6.50,18,23
 ,3,2,1,0,0,0,0,0,0,0,0,0,0, ,0,0,16,6,0.06,0,0,0,54,8,0,0,0.00,0.00,0,0
 ,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,1,0,0,0,0,0,3,5,0,0,0.00,0.00,0,0
 ,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,2,0,0,2,19,0,25,22,0.08,0,12.50,11.00,22,26
 ,0,0,0,0,0,0,0,0,1,0,0,1,0, ,0,0,2,2,0.15,21,4,0.1,20,32,1.05,0,0.95,1.52,0,3
 ,0,0,0,0,0,0,0,0,1,1,1,2,0, ,0,0,8,5,0.11,12,9,0.42,36,25,0.33,0.02,3.00,2.08,6,9
 ,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,6,0,0,1,23,0,19,5,0.05,0,19.00,5.00,23,20
2,2,1,0,0,0,0,0,0,0,0,0,0,0, ,0,0,3,5,0.56,0,-,0,7,5,0,0,0.00,0.00,0,0
 ,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,4,0,0,0,-,0,8,7,0,0,0.00,0.00,0,0
 ,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,1,0,0,2,19,0,25,22,0.08,0,12.50,11.00,22,26
 ,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,3,0,0,11,10,0,17,11,0.65,0,1.55,1.00,3,1
 ,0,1,0,1,2,2,0,1,0,0,0,0,0, ,0,0,9,7,0.11,25,3,0.28,34,61,0.74,0,1.36,2.44,2,12
2,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,2,0.02,2,19,1,18,6,0.11,0.17,9.00,3.00,20,15
 ,0,0,0,0,1,0,0,0,0,0,0,0,0, ,0,0,8,1,0.13,1,23,1,5,2,0.2,0.5,5.00,2.00,17,7
 ,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,2,0,0,0,-,0,4,8,0,0,0.00,0.00,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,2,1,3,18,0.67,1,5,3,0.13,0.33,1.67,0,4
 ,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,-,0,0,7,0,0,0.00,0.00,0,0
 ,0,0,0,0,0,2,1,0,3,0,0,0,0, ,0,0,7,6,0.12,16,7,0.38,48,49,0.33,0.01,3.00,3.06,6,16
 ,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,1,0,0,0,-,0,3,2,0,0,0.00,0.00,0,0
 ,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,-,0,4,3,0,0,0.00,0.00,0,0
 ,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,2,0,0,0,-,0,3,5,0,0,0.00,0.00,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,1,0.02,2,19,0.5,9,4,0.22,0.13,4.50,2.00,14,7
 ,0,0,0,0,0,0,0,0,0,2,1,0,0, ,0,0,9,3,0.11,7,13,0.43,35,24,0.2,0.02,5.00,3.43,17,17
 ,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,1,6,4,0.18,8,11,0.5,29,42,0.28,0.01,3.63,5.25,10,21
1,0,0,0,2,6,4,1,0,2,1,1,0,0, ,0,0,17,18,0.09,28,2,0.64,117,66,0.24,0.01,4.18,2.36,12,11
 ,0,0,0,0,0,0,1,0,0,0,0,0,0, ,0,0,4,1,0.06,0,-,0,22,9,0,0,0.00,0.00,0,0
 ,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,4,0,0,6,14,0,48,55,0.13,0,8.00,9.17,19,24
 ,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,1,23,0,4,3,0.25,0,4.00,3.00,11,15
 ,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,3,0,0,6,14,0,29,36,0.21,0,4.83,6.00,15,22
1,0,4,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,5,1,6,14,0.83,5,9,1.2,0.09,0.83,1.50,0,2
 ,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,6,0,0,0,-,0,1,6,0,0,0.00,0.00,0,0
 ,0,1,0,0,1,1,1,0,0,1,3,3,2,1,2,0,10,14,0.11,36,1,0.39,123,75,0.29,0.01,3.42,2.08,8,9
